num,Year,districts,Total,Totalu5,ZS
281,2020,BOPA,117558,16660,Comè-Grand popo-Houèyogbé-Bopa  
282,2020,COME,97665,13129,Comè-Grand popo-Houèyogbé-Bopa  
283,2020,GRAND-POPO,70373,9265,Comè-Grand popo-Houèyogbé-Bopa  
284,2020,HOUEYOGBE,124410,17046,Comè-Grand popo-Houèyogbé-Bopa  
285,2020,LOKOSSA,128156,17788,Lokossa-Athiémè  
286,2020,ADJARRA,118953,18059,Akpro-missérété-Avrankou-Adjarra  
287,2020,ADJOHOUN,91968,13522,Adjohoun-Bonou-Dangbo  
288,2020,AGUEGUES,54410,8128,Porto-Novo-Sèmè-Kpodji-Aguégués  
289,2020,AKPRO-MISSERETE,127826,22857,Akpro-missérété-Avrankou-Adjarra  
290,2020,AVRANKOU,156347,25293,Akpro-missérété-Avrankou-Adjarra  
291,2020,BONOU,54149,7838,Adjohoun-Bonou-Dangbo  
292,2020,DANGBO,117735,18434,Adjohoun-Bonou-Dangbo  
293,2020,PORTO-NOVO,322731,42071,Porto-Novo-Sèmè-Kpodji-Aguégués  
294,2020,SEME-KPODJI,271914,41125,Porto-Novo-Sèmè-Kpodji-Aguégués  
295,2020,ADJA-OUERE,141979,21250,Pobè-Kétou-Adja-ouèrè  
296,2020,IFANGNI,135496,20675,Sakété-Ifangni  
297,2020,KETOU,192124,29705,Pobè-Kétou-Adja-ouèrè  
298,2020,POBE,151008,22360,Pobè-Kétou-Adja-ouèrè  
299,2020,SAKETE,139300,18178,Sakété-Ifangni  
300,2020,ABOMEY,112655,14408,Djidja-Abomey-Agbangnizoun  
301,2020,AGBANGNIZOUN,88581,12762,Djidja-Abomey-Agbangnizoun  
302,2020,BOHICON,209742,30259,Bohicon-Za-kpota-Zogbodomey  
303,2020,COVE,62572,8633,Covè-Zagnanado-Ouinhi  
304,2020,DJIDJA,150843,23251,Djidja-Abomey-Agbangnizoun  
305,2020,OUINHI,72503,10763,Covè-Zagnanado-Ouinhi  
306,2020,ZAGNANADO,67229,9479,Covè-Zagnanado-Ouinhi  
307,2020,ZA-KPOTA,162169,25797,Bohicon-Za-kpota-Zogbodomey  
308,2020,ZOGBODOMEY,113472,17413,Bohicon-Za-kpota-Zogbodomey  
309,2022,BANIKOARA,318173,54032,Banikoara (ZS)  
310,2022,GOGOUNOU,151648,27375,Kandi-Gogounou-Ségbana  
311,2022,KANDI,231351,40449,Kandi-Gogounou-Ségbana  
312,2022,KARIMAMA,85620,15167,Malanville-Karimama  
313,2022,MALANVILLE,217609,37417,Malanville-Karimama  
314,2022,SEGBANA,114948,21459,Kandi-Gogounou-Ségbana  
315,2022,BOUKOUMBE,106391,17356,Natitingou-Boukoumbé-Toucountouna  
316,2022,COBLY,87233,15511,Tanguiéta-Cobly-Matéri  
317,2022,KEROU,129291,24316,Kouandé-Péhunco-Kérou  
318,2022,KOUANDE,143928,24685,Kouandé-Péhunco-Kérou  
319,2022,MATERI,147048,24067,Tanguiéta-Cobly-Matéri  
320,2022,NATITINGOU,133996,19201,Natitingou-Boukoumbé-Toucountouna  
321,2022,PEHUNCO,100929,18341,Kouandé-Péhunco-Kérou  
322,2022,TANGUIETA,96668,15716,Tanguiéta-Cobly-Matéri  
323,2022,TOUCOUNTOUNA,51330,8139,Natitingou-Boukoumbé-Toucountouna  
324,2022,ABOMEY-CALAVI,846945,119709,Abomey-Calavi-So-ava  
325,2022,ALLADA,164538,24118,Allada-Toffo-Zè  
326,2022,KPOMASSE,87291,11907,Ouidah-Kpomassè-Tori-Bossito  
327,2022,OUIDAH,209084,31180,Ouidah-Kpomassè-Tori-Bossito  
328,2022,SO-AVA,152970,25692,Abomey-Calavi-So-ava  
329,2022,TOFFO,131082,18960,Allada-Toffo-Zè  
330,2022,TORI-BOSSITO,74367,11168,Ouidah-Kpomassè-Tori-Bossito  
331,2022,ZE,137957,21736,Allada-Toffo-Zè  
332,2022,BEMBEREKE,169368,27849,Bembèrèkè-Sinendé  
333,2022,KALALE,217920,43672,Nikki-Kalalé-Pèrèrè  
334,2022,N'DALI,146591,25797,N'Dali-Parakou  
335,2022,NIKKI,195145,36590,Nikki-Kalalé-Pèrèrè  
336,2022,PARAKOU,329661,43061,N'Dali-Parakou  
337,2022,PERERE,101924,20823,Nikki-Kalalé-Pèrèrè  
338,2022,SINENDE,118291,21398,Bembèrèkè-Sinendé  
339,2022,TCHAOUROU,287931,50814,Tchaourou (ZS)  
340,2022,BANTE,138303,19891,Savalou-Bantè  
341,2022,DASSA-ZOUME,144679,20968,Dassa-Glazoué  
342,2022,GLAZOUE,160562,21611,Dassa-Glazoué  
343,2022,OUESSE,183255,25396,Savè-Ouèssè  
344,2022,SAVALOU,186522,28706,Savalou-Bantè  
345,2022,SAVE,112491,15193,Savè-Ouèssè  
346,2022,APLAHOUE,220794,33333,Aplahoué-Djakotomey-Dogbo  
347,2022,DJAKOTOME,172946,24183,Aplahoué-Djakotomey-Dogbo  
348,2022,DOGBO,132982,17392,Aplahoué-Djakotomey-Dogbo  
349,2022,KLOUEKANME,165938,25261,Klouékamè-Toviklin-Lalo  
350,2022,LALO,154749,23159,Klouékamè-Toviklin-Lalo  
351,2022,TOVIKLIN,114341,16460,Klouékamè-Toviklin-Lalo  
352,2022,BASSILA,167866,26001,Bassila (ZS)  
353,2022,COPARGO,91536,12392,Djougou-Ouaké-Copargo  
354,2022,DJOUGOU,345577,53389,Djougou-Ouaké-Copargo  
355,2022,OUAKE,95860,13107,Djougou-Ouaké-Copargo  
356,2022,COTONOU,876178,109323,Cotonou  
